Id	Score	URL	NormURL	ContentSpace
technology-companies	0.531359	http://starcasm.net/archives/20485	http://starcasm.net/archives/20485	Sovrn
industries	0.673507	http://worthly.com/news/keyword-michael-jordan-steakhouse/	http://worthly.com/news/keyword-michael-jordan-steakhouse/	Sovrn
gardening	0.67211	http://worthly.com/richest/celebrities/rappers/game-net-worth/	http://worthly.com/richest/celebrities/rappers/game-net-worth/	Sovrn
society	0.52315	http://411mania.com/movies/honey-boo-boos-sister-feels-betrayed-by-mother-for-allegedly-dating-her-sexual-abuser/	http://411mania.com/movies/honey-boo-boos-sister-feels-betrayed-by-mother-for-allegedly-dating-her-sexual-abuser/	Sovrn
home	0.460302	http://411mania.com/movies/movies-recap-of-mission-impossible-ghost-protocol-sneak-peek/	http://411mania.com/movies/movies-recap-of-mission-impossible-ghost-protocol-sneak-peek/	Sovrn
news-media	0.446779	http://411mania.com/music/411-musics-friday-news-bootleg-02-28-03/	http://411mania.com/music/411-musics-friday-news-bootleg-02-28-03/	Sovrn
celebrities	0.769435	http://411mania.com/wrestling/video-aj-lee-speaks-at-ringside-fest-2012/	http://411mania.com/wrestling/video-aj-lee-speaks-at-ringside-fest-2012/	Sovrn
action-movies	0.626025	http://celebslam.celebuzz.com/category/karent-sierra/	http://celebslam.celebuzz.com/category/karent-sierra/	Sovrn
personal-relationships	0.610242	http://funnyjunk.com/channel/fucking-tumblr/Ajax+soap/sBTTLfO/	http://funnyjunk.com/channel/fucking-tumblr/Ajax+soap/sBTTLfO/	Sovrn
humanities	0.690986	http://heavy.com/action/girls/2010/07/the-20-hottest-photos-of-january-jones/6/	http://heavy.com/action/girls/2010/07/the-20-hottest-photos-of-january-jones/6/	Sovrn
home	0.493471	http://heavy.com/moto/moto-photo/2011/07/tour-the-wellborn-muscle-car-museum/4/	http://heavy.com/moto/moto-photo/2011/07/tour-the-wellborn-muscle-car-museum/4/	Sovrn
humanities	0.497125	http://heavy.com/moto/moto-photo/2011/09/tour-the-early-years-of-motocross-museum/	http://heavy.com/moto/moto-photo/2011/09/tour-the-early-years-of-motocross-museum/	Sovrn
colleges-universities	0.726175	http://sportspyder.com/sources/17338/news	http://sportspyder.com/sources/17338/news	Sovrn
appliances	0.452064	http://sportspyder.com/teams/phoenix-suns/articles/13426785	http://sportspyder.com/teams/phoenix-suns/articles/13426785	Sovrn
apple	0.761847	http://sportspyder.com/teams/texas-am-aggies-football/articles/13427064	http://sportspyder.com/teams/texas-am-aggies-football/articles/13427064	Sovrn
software	0.516926	http://sportspyder.com/teams/texas-am-aggies-football/articles/13427064	http://sportspyder.com/teams/texas-am-aggies-football/articles/13427064	Sovrn
music	0.770283	http://starcasm.net/archives/154463	http://starcasm.net/archives/154463	Sovrn
facebook	0.608443	http://starcasm.net/archives/166309	http://starcasm.net/archives/166309	Sovrn
facebook	0.645291	http://starcasm.net/archives/293818	http://starcasm.net/archives/293818	Sovrn
u-s-politicians	0.762534	http://411mania.com/mma/josh-koscheck-vs-jake-ellenberger-set-for-ufc-184/	http://411mania.com/mma/josh-koscheck-vs-jake-ellenberger-set-for-ufc-184/	Sovrn
california	0.485519	http://411mania.com/music/video-30-seconds-to-mars-faces-bomb-scare/	http://411mania.com/music/video-30-seconds-to-mars-faces-bomb-scare/	Sovrn
los-angeles-area	0.485519	http://411mania.com/music/video-30-seconds-to-mars-faces-bomb-scare/	http://411mania.com/music/video-30-seconds-to-mars-faces-bomb-scare/	Sovrn
science	0.472578	http://411mania.com/music/wyclef-jean-says-haitian-charity-is-legit/	http://411mania.com/music/wyclef-jean-says-haitian-charity-is-legit/	Sovrn
colleges-universities	0.799381	http://sportspyder.com/teams/boise-state-broncos-football/articles/13425166	http://sportspyder.com/teams/boise-state-broncos-football/articles/13425166	Sovrn
travel	0.703699	http://sportspyder.com/teams/golden-state-warriors/articles/13426209	http://sportspyder.com/teams/golden-state-warriors/articles/13426209	Sovrn
personal-relationships	0.42241	http://starcasm.net/archives/290848	http://starcasm.net/archives/290848	Sovrn
fashion	0.784958	http://starcasm.net/archives/category/celebrities/courteney-cox	http://starcasm.net/archives/category/celebrities/courteney-cox	Sovrn
celebrities	0.895091	http://starcasm.net/archives/category/celebrities/mariah-carey/page/2	http://starcasm.net/archives/category/celebrities/mariah-carey/page/2	Sovrn
society	0.635642	http://411mania.com/wrestling/official-wwe-raw-preview-32/	http://411mania.com/wrestling/official-wwe-raw-preview-32/	Sovrn
business	0.458069	http://411mania.com/wrestling/wwe-news-update-on-shawn-michaels-raw-looking-for-a-big-rating/	http://411mania.com/wrestling/wwe-news-update-on-shawn-michaels-raw-looking-for-a-big-rating/	Sovrn
recreation	0.690888	http://411mania.com/movies/gossip-alessandra-ambrosios-bikini-booty-takes-to-the-ocean/	http://411mania.com/movies/gossip-alessandra-ambrosios-bikini-booty-takes-to-the-ocean/	Sovrn
healthy-living	0.547488	http://411mania.com/wrestling/fip-news-december-17th-headlines/	http://411mania.com/wrestling/fip-news-december-17th-headlines/	Sovrn
fashion	0.659126	http://necolebitchie.com/2010/03/beyonce-jay-z-join-alicia-keys-in-concert/	http://necolebitchie.com/2010/03/beyonce-jay-z-join-alicia-keys-in-concert/	Sovrn
u-s-states	0.566577	http://necolebitchie.com/2012/03/drake-introduces-the-new-wheelchair-jimmy-dance-on-stage-linx/	http://necolebitchie.com/2012/03/drake-introduces-the-new-wheelchair-jimmy-dance-on-stage-linx/	Sovrn
back-to-school	0.750988	http://411mania.com/games/the-10th-hour-12-18-09-top-10-games-of-the-decade/	http://411mania.com/games/the-10th-hour-12-18-09-top-10-games-of-the-decade/	Sovrn
